;opcode,mnemonic,operands,flags,cycles,pseudocode
00,NOP,,,4,
08,NOP?,,undocumented,4,
10,NOP?,,undocumented,4,
20,NOP?,,undocumented,4,
18,NOP?,,undocumented,4,
28,NOP?,,undocumented,4,
30,NOP?,,undocumented,4,
38,NOP?,,undocumented,4,
01,LXI,"B,DATA16",,10,
02,STAX,B,,7,
03,INX,B,,5,
04,INR,B,,5,
05,DCR,B,,5,
06,MVI,"B,DATA8",,7,
07,RLC,,,4,
09,DAD,B,,10,
0A,LDAX,B,,7,
0B,DCX,B,,5,
0C,INR,C,,5,
0D,DCR,C,,5,
0E,MVI,"C,DATA8",,7,
0F,RRC,,,4,
11,LXI,"D,DATA16",,10,
12,STAX,D,,7,
13,INX,D,,5,
14,INR,D,,5,
15,DCR,D,,5,
16,MVI,"D,DATA8",,7,
17,RAL,,,4,
19,DAD,D,,10,
1A,LDAX,D,,7,
1B,DCX,D,,5,
1C,INR,E,,5,
1D,DCR,E,,5,
1E,MVI,"E,DATA8",,7,
1F,RAR,,,4,
21,LXI,"H,DATA16",,10,
22,SHLD,DATA16,,16,
23,INX,H,,5,
24,INR,H,,5,
25,DCR,H,,5,
26,MVI,"H,DATA8",,7,
27,DAA,,,4,
29,DAD,H,,10,
2A,LHLD,DATA16,,16,
2B,DCX,H,,5,
2C,INR,L,,5,
2D,DCR,L,,5,
2E,MVI,"L,DATA8",,7,
2F,CMA,,,4,
31,LXI,"SP,DATA16",,10,
32,STA,DATA16,,13,
33,INX,SP,,5,
34,INR,M,,10,
35,DCR,M,,10,
36,MVI,"M,DATA8",,10,
37,STC,,,4,
39,DAD,SP,,10,
3A,LDA,DATA16,,13,
3B,DCX,SP,,5,
3C,INR,A,,5,
3D,DCR,A,,5,
3E,MVI,"A,DATA8",,7,
3F,CMC,,,4,
76,HLT,,,4,
40,MOV,"B,B",,5,
41,MOV,"B,C",,5,
42,MOV,"B,D",,5,
43,MOV,"B,E",,5,
44,MOV,"B,H",,5,
45,MOV,"B,L",,5,
46,MOV,"B,M",,7,
47,MOV,"B,A",,5,
48,MOV,"C,B",,5,
49,MOV,"C,C",,5,
4A,MOV,"C,D",,5,
4B,MOV,"C,E",,5,
4C,MOV,"C,H",,5,
4D,MOV,"C,L",,5,
4E,MOV,"C,M",,7,
4F,MOV,"C,A",,5,
50,MOV,"D,B",,5,
51,MOV,"D,C",,5,
52,MOV,"D,D",,5,
53,MOV,"D,E",,5,
54,MOV,"D,H",,5,
55,MOV,"D,L",,5,
56,MOV,"D,M",,7,
57,MOV,"D,A",,5,
58,MOV,"E,B",,5,
59,MOV,"E,C",,5,
5A,MOV,"E,D",,5,
5B,MOV,"E,E",,5,
5C,MOV,"E,H",,5,
5D,MOV,"E,L",,5,
5E,MOV,"E,M",,7,
5F,MOV,"E,A",,5,
60,MOV,"H,B",,5,
61,MOV,"H,C",,5,
62,MOV,"H,D",,5,
63,MOV,"H,E",,5,
64,MOV,"H,H",,5,
65,MOV,"H,L",,5,
66,MOV,"H,M",,7,
67,MOV,"H,A",,5,
68,MOV,"L,B",,5,
69,MOV,"L,C",,5,
6A,MOV,"L,D",,5,
6B,MOV,"L,E",,5,
6C,MOV,"L,H",,5,
6D,MOV,"L,L",,5,
6E,MOV,"L,M",,7,
6F,MOV,"L,A",,5,
70,MOV,"M,B",,7,
